LSOA21CD,MSOA21CD
E01008891,E02001915
E01008893,E02001915
E01008894,E02001915
E01008889,E02001904
E01008889,E02001904
E01008892,E02001915
E01008891,E02001915
E01008893,E02001915
E01008889,E02001904
E01008890,E02001915
E01008893,E02001915
E01008891,E02001915
E01008894,E02001915
E01008894,E02001915
E01008893,E02001915
E01008894,E02001915
E01008895,E02001915
E01008895,E02001915
E01008894,E02001915
E01008895,E02001915
E01008895,E02001915
E01008896,E02001892
E01008897,E02001893
E01008896,E02001892
E01008897,E02001893
E01008897,E02001893
E01008898,E02001892
E01008896,E02001892
E01008896,E02001892
E01008897,E02001893
E01008898,E02001892
E01008896,E02001892
E01008881,E02001893
E01008898,E02001892
E01008897,E02001893
E01008881,E02001893
E01008882,E02001892
E01008898,E02001892
E01008881,E02001893
E01008898,E02001892
E01008881,E02001893
E01008882,E02001892
E01008882,E02001892
E01008882,E02001892
E01008883,E02001904
E01008881,E02001893
E01008882,E02001892
E01008884,E02001904
E01008883,E02001904
E01008883,E02001904
E01008920,E02001920
E01008917,E02001928
E01008920,E02001920
E01008924,E02001927
E01008923,E02001928
E01008920,E02001920
E01033629,E02001932
E01008920,E02001920
E01033629,E02001932
E01008925,E02001928
E01008925,E02001928
E01008923,E02001928
E01033629,E02001932
E01008924,E02001927
E01033629,E02001932
E01033629,E02001932
E01008925,E02001928
E01008924,E02001927
E01008927,E02001928
E01033629,E02001932
E01008927,E02001928
E01008927,E02001928
E01008923,E02001928
E01008923,E02001928
E01008928,E02001928
E01008928,E02001928
E01008929,E02001932
E01008934,E02001931
E01008934,E02001931
E01008937,E02001941
E01008938,E02001937
E01008941,E02001941
E01008942,E02001943
E01008944,E02001941
E01008943,E02001943
E01008939,E02001937
E01008944,E02001941
E01008945,E02001948
E01008940,E02001941
E01008940,E02001941
E01008940,E02001941
E01008940,E02001941
E01008942,E02001943
E01008945,E02001948
E01008944,E02001941
E01008944,E02001941
E01008943,E02001943
E01008942,E02001943
E01008944,E02001941
E01008943,E02001943
E01034926,E02001867
E01034926,E02001867
E01008906,E02001875
E01008907,E02001866
E01008906,E02001875
E01008906,E02001875
E01008913,E02001876
E01008907,E02001866
E01033638,E02001875
E01034926,E02001867
E01008909,E02001867
E01008911,E02001875
E01008909,E02001867
E01033638,E02001875
E01008911,E02001875
E01008913,E02001876
E01033638,E02001875
E01008913,E02001876
E01008911,E02001875
E01033638,E02001875
E01033638,E02001875
E01008913,E02001876
E01034929,E02001876
E01034929,E02001876
E01034930,E02001876
E01008915,E02001856
E01008899,E02001863
E01008915,E02001856
E01008915,E02001856
E01008916,E02001863
E01008915,E02001856
E01008916,E02001863
E01008916,E02001863
E01008916,E02001863
E01008901,E02001863
E01008899,E02001863
E01034919,E02001863
E01034919,E02001863
E01034919,E02001863
E01034920,E02001863
E01034919,E02001863
E01034920,E02001863
E01034920,E02001863
E01008899,E02001863
E01008901,E02001863
E01034924,E02001867
E01008901,E02001863
E01034924,E02001867
E01008901,E02001863
E01034924,E02001867
E01008883,E02001904
E01008884,E02001904
E01008886,E02001902
E01008884,E02001904
E01008886,E02001902
E01008886,E02001902
E01008884,E02001904
E01008884,E02001904
E01008883,E02001904
E01008885,E02001902
E01008887,E02001904
E01008886,E02001902
E01008887,E02001904
E01008886,E02001902
E01008887,E02001904
E01008885,E02001902
E01008886,E02001902
E01008889,E02001904
E01008885,E02001902
E01008887,E02001904
E01008890,E02001915
E01008885,E02001902
E01008888,E02001902
E01008888,E02001902
E01008887,E02001904
E01008890,E02001915
E01008890,E02001915
E01008888,E02001902
E01008888,E02001902
E01008888,E02001902
E01008890,E02001915
E01008891,E02001915
E01008892,E02001915
E01008892,E02001915
E01008889,E02001904
E01008893,E02001915
E01008891,E02001915
E01008892,E02001915
E01008907,E02001866
E01008907,E02001866
E01008905,E02001866
E01008909,E02001867
E01008911,E02001875
E01034919,E02001863
E01034920,E02001863
E01008901,E02001863
E01034926,E02001867
E01008905,E02001866
E01008905,E02001866
E01008906,E02001875
E01034924,E02001867
E01008905,E02001866
E01008907,E02001866
E01034925,E02001867
E01034925,E02001867
E01008906,E02001875
E01008929,E02001932
E01008929,E02001932
E01008929,E02001932
E01008928,E02001928
E01008921,E02001920
E01008918,E02001920
E01008917,E02001928
E01008921,E02001920
E01008925,E02001928
E01008917,E02001928
E01008923,E02001928
E01008924,E02001927
E01008927,E02001928
E01008928,E02001928
E01008929,E02001932
E01008928,E02001928
E01033629,E02001932
E01008927,E02001928
E01008929,E02001932
E01008930,E02001932
E01008930,E02001932
E01008930,E02001932
E01008930,E02001932
E01008930,E02001932
E01008921,E02001920
E01008931,E02001920
E01008931,E02001920
E01008919,E02001921
E01008919,E02001921
E01008931,E02001920
E01008931,E02001920
E01008921,E02001920
E01008931,E02001920
E01008918,E02001920
E01008918,E02001920
E01008919,E02001921
E01008917,E02001928
E01008918,E02001920
E01008918,E02001920
E01008921,E02001920
E01008918,E02001920
E01008919,E02001921
E01008924,E02001927
E01008919,E02001921
E01008944,E02001941
E01008945,E02001948
E01008943,E02001943
E01008945,E02001948
E01008947,E02001948
E01008946,E02001948
E01008942,E02001943
E01008945,E02001948
E01008942,E02001943
E01008948,E02001948
E01008947,E02001948
E01008947,E02001948
E01008948,E02001948
E01008946,E02001948
E01008946,E02001948
E01008947,E02001948
